Repositorio;Branch;Link
TIM_Components_ConsultTraffic;WEB0209;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_ConsultTraffic?_a=contents&version=GBWEB0209
TIM_Components_ConsultTraffic;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_ConsultTraffic?_a=contents&version=GBmaster
TIM_Components_protocol;TIR339972;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_protocol?_a=contents&version=GBTIR339972
TIM_Components_protocol;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_protocol?_a=contents&version=GBmaster
TIM_Components_OAM;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_OAM?_a=contents&version=GBmaster
Camada_Exposicao_API_Grupo_InboundVPN;WEB0122;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0122
Camada_Exposicao_API_Grupo_InboundVPN;WEB0137;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0137
Camada_Exposicao_API_Grupo_InboundVPN;WEB0140;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0140
Camada_Exposicao_API_Grupo_InboundVPN;WEB0149;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0149
Camada_Exposicao_API_Grupo_InboundVPN;WEB0225;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0225
Camada_Exposicao_API_Grupo_InboundVPN;WEB0251;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0251
Camada_Exposicao_API_Grupo_InboundVPN;WEB0296;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEB0296
Camada_Exposicao_API_Grupo_InboundVPN;WEb0297;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Camada_Exposicao_API_Grupo_InboundVPN?_a=contents&version=GBWEb0297
